City,Region,Country,AirQuality,WaterPollution,Population
Pyeongtaek,Gyeonggi Province,South Korea,0,75,
Pohang,North Gyeongsang Province,South Korea,43.75,37.5,
Clermont-Ferrand,,France,80.55555556,15,147327
Kharkiv,Kharkiv Oblast,Ukraine,52.05882353,58.73493976,1421125
Sheffield,England,United Kingdom,70.23809524,27.94117647,518090
York,England,United Kingdom,81.81818182,18.75,141685
Suzhou,Jiangsu,People's Republic of China,21.96969697,73.21428571,
Wenzhou,Zhejiang,People's Republic of China,10,75,
Wuxi,Jiangsu,People's Republic of China,12.5,87.5,
Huzhou,Zhejiang,People's Republic of China,5,100,
Shaoxing,Zhejiang,People's Republic of China,0,50,
Saint-Etienne,,France,90,0,
Olympia,Washington,United States of America,87.5,18.75,
Palikir,Pohnpei State,Federated States of Micronesia,100,100,
Santiago de los Caballeros,Santiago Province,Dominican Republic,35,66.66666667,
Ningbo,Zhejiang,People's Republic of China,20.3125,75,
Belo Horizonte,Minas Gerais,Brazil,51.171875,47.45762712,5328000
Nimes,,France,75,50,
Le Havre,,France,75,25,166058
Agra,Uttar Pradesh,India,23.61111111,69.82758621,
Harbin,Heilongjiang,People's Republic of China,14.28571429,57.5,
Donetsk,Donetsk Oblast,Ukraine,20,65,901645
Aigle,Canton of Vaud,Switzerland,75,25,10131
Cincinnati,Ohio,United States of America,57.57575758,43.10344828,309317
Omaha,Nebraska,United States of America,78.57142857,32.35294118,486051
Fresno,California,United States of America,21.25,78.125,542107
Plymouth,England,United Kingdom,73.80952381,23.61111111,267918
Edirne,Edirne Province,Turkey,33.33333333,50,180327
Richmond,Virginia,United States of America,73.17073171,27.63157895,226610
Chandigarh,,India,54.41176471,58.11688312,1055450
Plzen,,Czech Republic,65,42.85714286,
Fortaleza,Ceara,Brazil,66.66666667,56.94444444,4167996
Derby,England,United Kingdom,73.07692308,21.15384615,270468
Guayaquil,Guayas Province,Ecuador,41.21621622,70.51282051,2650288
Cotonou,Littoral Department,Benin,25,100,679012
Louisville,Kentucky,United States of America,56.06060606,38.79310345,633045
Madison,Wisconsin,United States of America,86.76470588,40.32258065,269840
Salem,Oregon,United States of America,87.5,17.85714286,
Ketchikan,Alaska,United States of America,100,50,
Trois-Rivieres,Quebec,Canada,82.14285714,0,139163
Vaughan,Ontario,Canada,80.88235294,28.33333333,323103
Markham,Ontario,Canada,89.58333333,17.70833333,338503
La Plata,Buenos Aires Province,Argentina,40.90909091,63.63636364,193144
Toulon,,France,60,41.66666667,180452
Brampton,Ontario,Canada,70.83333333,39.88095238,656480
Cordoba,Cordoba Province,Argentina,35,58.33333333,2106734
Santa Rosa,La Pampa,Argentina,75,75,102880
Santa Rosa,La Pampa,Argentina,75,75,15818
San Salvador de Jujuy,Province of Jujuy,Argentina,75,50,321789
La Rioja,La Rioja Province,Argentina,100,50,180995
Mendoza,Mendoza,Argentina,65.625,53.57142857,115041
Viedma,Rio Negro Province,Argentina,100,75,62000
San Luis,San Luis Province,Argentina,75,50,169947
Santiago del Estero,Santiago del Estero Province,Argentina,75,25,911506
Charleston,West Virginia,United States of America,95,50,
Bugibba,,Malta,40,65,
Viljandi,Viljandi County,Estonia,100,37.5,17353
Tulsa,Oklahoma,United States of America,75,38.63636364,413066
Paide,Jarva County,Estonia,100,0,8081
Monte Carlo,Commune of Monaco,Monaco,22.72727273,43.75,
Trabzon,Trabzon Province,Turkey,27.77777778,25,758237
Herat,Herat,Afghanistan,43.75,31.25,
Coimbra,Coimbra,Portugal,82.35294118,41.17647059,143396
Kandahar,Kandahar,Afghanistan,0,75,
Limoges,,France,100,0,129760
Pecs,Baranya County,Hungary,62.5,25,
Dunkirk,,France,36.11111111,45,
Gifu,Gifu Prefecture,Japan,62.5,50,400118
Guelma,Annaba Province,Algeria,25,50,120004
Sfax,Sfax Governorate,Tunisia,11.11111111,70.83333333,265131
Suceava,Suceava County,Romania,71.875,37.5,84322
Kavaje,Tirana County,Albania,100,75,29354
Sendai,Miyagi Prefecture,Japan,87.5,25,1061177
Alcala de Henares,Community of Madrid,Spain,75,50,196888
Espoo,Uusimaa,Finland,95.45454545,19.44444444,297132
Saint-Denis,Reunion,France,75,50,113942
Oulu,,Finland,86.95652174,12.5,208939
Santa Monica,California,United States of America,66.66666667,54.16666667,
Hassan,Karnataka,India,68.18181818,60.71428571,133436
Palo Alto,California,United States of America,56.25,50,
Green Bay,Wisconsin,United States of America,63.88888889,50,
Aix-en-Provence,,France,78.57142857,50,147478
Torun,Kuyavian-Pomeranian Voivodeship,Poland,37.5,42.85714286,
Charleston,South Carolina,United States of America,75,57.69230769,
Bariloche,Rio Negro Province,Argentina,83.33333333,41.66666667,
Lucknow,Uttar Pradesh,India,25.66666667,72.82608696,3382000
Salford,England,United Kingdom,100,50,103886
Basra,Basra Governorate,Iraq,27.08333333,72.91666667,
Dover,New Hampshire,United States of America,100,50,
Dnipro,Dnipropetrovsk Oblast,Ukraine,24.19354839,70.65217391,968502
Nashua,New Hampshire,United States of America,87.5,0,
Medellin,Antioquia Department,Colombia,23.9010989,38.23529412,2529403
Kobe,Hyogo Prefecture,Japan,80,33.33333333,
Kayseri,Kayseri Province,Turkey,25,62.5,1389680
Recife,Pernambuco,Brazil,49.16666667,77.41935484,1488920
Manchester,New Hampshire,United States of America,76.92307692,38.88888889,
Amritsar,Punjab,India,21.56862745,76.70454545,1132383
Oak Ridge,Tennessee,United States of America,87.5,50,
Strumica,Strumica Municipality,North Macedonia,68.75,28.125,33825
San Luis Obispo,California,United States of America,92.5,45.83333333,
Cambridge,Massachusetts,United States of America,91.66666667,21.875,
West Hartford,Connecticut,United States of America,91.66666667,6.25,
New Haven,Connecticut,United States of America,81.81818182,37.5,
New Bedford,Massachusetts,United States of America,25,75,
Stamford,Connecticut,United States of America,50,54.16666667,
Bridgeport,Connecticut,United States of America,79.16666667,66.66666667,
Waterbury,Connecticut,United States of America,80,0,
Worcester,Massachusetts,United States of America,91.66666667,75,
Pittsfield,Massachusetts,United States of America,89.28571429,100,
Fall River,Massachusetts,United States of America,100,50,
Newton,Massachusetts,United States of America,75,50,
Danbury,Connecticut,United States of America,75,0,
Somerville,Massachusetts,United States of America,100,12.5,
Portland,Maine,United States of America,82.14285714,42.85714286,
Rochester,New York,United States of America,64.70588235,47.91666667,
Irvine,California,United States of America,63.15789474,33.33333333,307670
Fremont,California,United States of America,79.16666667,15,230504
Scottsdale,Arizona,United States of America,68.75,28.84615385,241361
Reno,Nevada,United States of America,70.93023256,28.84615385,264165
Winston-Salem,North Carolina,United States of America,94.44444444,5,
Durham,North Carolina,United States of America,75,39.58333333,283506
Norfolk,Virginia,United States of America,100,75,238005
Orlando,Florida,United States of America,75.73529412,48.38709677,307573
Greensboro,North Carolina,United States of America,76.66666667,31.81818182,299035
Toledo,Ohio,United States of America,75,75,270871
Stockton,California,United States of America,44.23076923,71.875,320804
Lexington,Kentucky,United States of America,89.28571429,40,322570
Corpus Christi,Texas,United States of America,70,68.18181818,317863
Riverside,California,United States of America,45.83333333,53.33333333,314998
Santa Ana,California,United States of America,50,55,310227
Aurora,Colorado,United States of America,45.83333333,33.33333333,386261
Anaheim,California,United States of America,55.76923077,33.33333333,346824
Tampa,Florida,United States of America,79.78723404,45.93023256,384959
Bakersfield,California,United States of America,16.66666667,68.47826087,403455
Colorado Springs,Colorado,United States of America,79.41176471,38.39285714,478961
Virginia Beach,Virginia,United States of America,85.52631579,36.66666667,459470
Mesa,Arizona,United States of America,68.75,31.25,504258
Wichita,Kansas,United States of America,86.36363636,33.82352941,397532
Henderson,Nevada,United States of America,67.85714286,35,317610
Fort Wayne,Indiana,United States of America,66.66666667,43.75,263886
Chula Vista,California,United States of America,37.5,75,275487
Chandler,Arizona,United States of America,65,45,275987
Lubbock,Texas,United States of America,69.64285714,34.09090909,257141
Garland,Texas,United States of America,75,50,246018
Balzers,,Liechtenstein,75,0,4642
Garden Grove,California,United States of America,75,0,
Mississauga,Ontario,Canada,81.69642857,32.69230769,717961
Demmin,Mecklenburg-Western Pomerania,Germany,100,50,10395
Osorno,Los Lagos Region,Chile,25,62.5,160000
Ovalle,Coquimbo Region,Chile,100,25,75864
Cali,Valle del Cauca Department,Colombia,67.04545455,42.1875,2471474
Pereira,Risaralda Department,Colombia,25,75,590554
Gniezno,Greater Poland Voivodeship,Poland,50,0,65452
Puente Alto,Santiago Metropolitan Region,Chile,0,50,573935
Punta Arenas,Magellan and the Chilean Antarctic Region,Chile,94.44444444,45,123403
Gilbert,Arizona,United States of America,75,0,267918
Tempe,Arizona,United States of America,68.18181818,46.42857143,
Peoria,Arizona,United States of America,65,15,
Surprise,Arizona,United States of America,100,0,
Plano,Texas,United States of America,78.57142857,32.14285714,285494
Irving,Texas,United States of America,62.5,37.5,256684
Amarillo,Texas,United States of America,53.125,53.125,
Brownsville,Texas,United States of America,57.14285714,68.75,
Mesquite,Texas,United States of America,50,75,
McKinney,Texas,United States of America,87.5,18.75,
McAllen,Texas,United States of America,87.5,35.71428571,
Chiang Mai,Chiang Mai,Thailand,19.27710843,59.45945946,1198000
Kolomyia,Ivano-Frankivsk Oblast,Ukraine,75,0,61269
Orem,Utah,United States of America,65.625,33.33333333,
Ogden,Utah,United States of America,80.55555556,0,
Rosario,Santa Fe Province,Argentina,71.42857143,57.14285714,1276000
Mar del Plata,Buenos Aires Province,Argentina,82.14285714,35.71428571,682605
Kalisz,Greater Poland Voivodeship,Poland,50,50,95905
Konin,Greater Poland Voivodeship,Poland,25,25,69858
Leszno,Greater Poland Voivodeship,Poland,75,50,61791
Faenza,Emilia-Romagna,Italy,75,50,58710
Richmond Hill,Ontario,Canada,89.28571429,8.333333333,202022
Newmarket,Ontario,Canada,100,0,87942
Saltillo,Coahuila,Mexico,68.33333333,42.85714286,864431
Bahia Blanca,Buenos Aires Province,Argentina,58.33333333,58.33333333,301572
Haverhill,Massachusetts,United States of America,100,50,
Beverly,Massachusetts,United States of America,100,0,
Medford,Massachusetts,United States of America,100,0,
Woburn,Massachusetts,United States of America,87.5,50,
Norwalk,Connecticut,United States of America,75,30,
East Providence,Rhode Island,United States of America,100,50,
Woonsocket,Rhode Island,United States of America,80,100,
Nykoping,Sodermanland County,Sweden,100,50,38780
Kumanovo,Kumanovo Municipality,North Macedonia,16.66666667,91.66666667,70842
Visby,Gotland County,Sweden,75,0,24951
Valencia,Carabobo,Venezuela,39.28571429,96.42857143,1484430
Cuenca,Azuay Province,Ecuador,45.39473684,28.67647059,361524
Fuenlabrada,Community of Madrid,Spain,87.5,100,188736
Harrow,England,United Kingdom,75,58.33333333,149246
Cabanatuan,,Philippines,33.33333333,50,
Novi Sad,,Serbia,59.23913043,47.15909091,380000
San Fernando,,Philippines,0,100,354666
San Fernando,,Philippines,0,100,125640
San Fernando,,Philippines,0,100,72224
San Fernando,,Philippines,0,100,63045
San Fernando,,Philippines,0,100,38626
San Fernando,,Philippines,0,100,24171
San Fernando,,Philippines,0,100,21600
Angeles,,Philippines,32.8125,79.6875,
Punta del Este,Maldonado Department,Uruguay,81.25,50,9277
San Bernardo,Santiago Metropolitan Region,Chile,10.88709677,88.72282609,301313
Olongapo,,Philippines,64.28571429,79.16666667,260317
Newcastle,New South Wales,Australia,78,39.28571429,152984
Venice,Florida,United States of America,91.66666667,16.66666667,
Xuzhou,Jiangsu,People's Republic of China,12.5,75,
Lianyungang,Jiangsu,People's Republic of China,0,50,
Suqian,Jiangsu,People's Republic of China,0,50,
Huai'an,Jiangsu,People's Republic of China,15,25,
Yancheng,Jiangsu,People's Republic of China,0,50,
Yangzhou,Jiangsu,People's Republic of China,0,50,
Taizhou,Jiangsu,People's Republic of China,0,50,
Annaberg-Buchholz,Saxony,Germany,87.5,50,19382
Nantong,Jiangsu,People's Republic of China,7.142857143,58.33333333,
Zhenjiang,Jiangsu,People's Republic of China,12.5,62.5,
Changzhou,Jiangsu,People's Republic of China,4.166666667,62.5,
Jiaxing,Zhejiang,People's Republic of China,0,50,
Jinhua,Zhejiang,People's Republic of China,0,50,
Quzhou,Zhejiang,People's Republic of China,0,50,
Lishui,Zhejiang,People's Republic of China,0,50,
Zhoushan,Zhejiang,People's Republic of China,12.5,50,
Banff,Alberta,Canada,100,0,
Shijiazhuang,Hebei,People's Republic of China,0,100,
Tangshan,Hebei,People's Republic of China,0,50,
Qinhuangdao,Hebei,People's Republic of China,0,50,
Xingtai,Hebei,People's Republic of China,0,50,
Baoding,Hebei,People's Republic of China,35.71428571,33.33333333,
Zhangjiakou,Hebei,People's Republic of China,0,50,
Chengde,Hebei,People's Republic of China,0,50,
Cangzhou,Hebei,People's Republic of China,0,25,
Langfang,Hebei,People's Republic of China,0,50,
Hengshui,Hebei,People's Republic of China,0,50,
Doncaster,England,United Kingdom,15,45.83333333,109805
Kakinada,Andhra Pradesh,India,62.5,37.5,
Zhuhai,Guangdong,People's Republic of China,41.66666667,65,
Shantou,Guangdong,People's Republic of China,25,50,
Narvik,Nordland,Norway,90,100,14148
Shaoguan,Guangdong,People's Republic of China,25,50,
Jiangmen,Guangdong,People's Republic of China,12.5,50,
Zhanjiang,Guangdong,People's Republic of China,35,50,
Zhaoqing,Guangdong,People's Republic of China,12.5,50,
Mo i Rana,Nordland,Norway,80,0,18899
Huizhou,Guangdong,People's Republic of China,25,50,
Meizhou,Guangdong,People's Republic of China,25,50,
Shanwei,Guangdong,People's Republic of China,30,50,
Heyuan,Guangdong,People's Republic of China,40,0,
Yangjiang,Guangdong,People's Republic of China,20,100,
Dongguan,Guangdong,People's Republic of China,35,50,
Zhongshan,Guangdong,People's Republic of China,29.16666667,87.5,
Chaozhou,Guangdong,People's Republic of China,25,50,
Yunfu,Guangdong,People's Republic of China,25,50,
Uzice,Zlatibor District,Serbia,25,75,
Columbia,Missouri,United States of America,96.42857143,25,
Swakopmund,Erongo Region,Namibia,50,50,34300
Bejaia,Bejaia Province,Algeria,58.33333333,50,176139
Zalaegerszeg,Zala County,Hungary,0,100,55433
Napa,California,United States of America,92.85714286,37.5,
Ashkelon,Southern District,Israel,5,100,
Malacca,Melaka,Malaysia,75,25,
George Town,,Malaysia,50,58.33333333,708127
Campeche,Campeche,Mexico,80,68.75,249623
Chihuahua City,Chihuahua,Mexico,81.25,47.91666667,
Colima,Colima,Mexico,75,37.5,146965
Latur,Maharashtra,India,83.33333333,58.33333333,
Brandon,Manitoba,Canada,85,40,51313
Nellore,Andhra Pradesh,India,31.48148148,66.66666667,547621
Navi Mumbai,Maharashtra,India,40.2173913,55.27522936,
Jonesboro,Arkansas,United States of America,50,50,
Semey,East Kazakhstan Region,Kazakhstan,25,75,350201
Taicang,Jiangsu,People's Republic of China,0,100,
Vanadzor,Lori Region,Armenia,25,50,90525
General Trias,,Philippines,25,25,450583
Magallanes,,Philippines,50,50,37411
Magallanes,,Philippines,50,50,23851
Magallanes,,Philippines,50,50,22293
Barranquilla,Atlantico Department,Colombia,52.77777778,50,1326588
Koszalin,West Pomeranian Voivodeship,Poland,55,50,105883
Abadan,Khuzestan Province,Iran,0,50,
Bacoor,,Philippines,33.33333333,71.42857143,664625
Dasmarinas,,Philippines,28.57142857,79.6875,703141
Imus,,Philippines,25,60,496794
Tagaytay,,Philippines,86.11111111,37.5,85330
Vernier,Canton of Geneva,Switzerland,12.5,75,34774
Baden,Canton Aargau,Switzerland,75,20,19122
Nyon,Canton of Vaud,Switzerland,100,0,20272
Lancy,Canton of Geneva,Switzerland,75,0,
Dubendorf,Canton of Zurich,Switzerland,100,50,28002
Baar,Canton of Zug,Switzerland,75,50,24464
High Wycombe,England,United Kingdom,62.5,50,120256
Glogow,Lower Silesian Voivodeship,Poland,50,50,
Jaipur,Rajasthan,India,43.6746988,63.55263158,3073350
Jaipur,Rajasthan,India,43.6746988,63.55263158,10259
Kanpur,Uttar Pradesh,India,16.40625,76.66666667,2701324
Indore,Madhya Pradesh,India,45,70.56451613,1994397
Davos,Grisons,Switzerland,100,50,10862
La Chaux-de-Fonds,Canton of Neuchatel,Switzerland,75,0,38965
Olten,Canton of Solothurn,Switzerland,80,100,18362
Sion,Canton of Valais,Switzerland,80,6.25,34708
Zug,Canton of Zug,Switzerland,91.66666667,8.333333333,30542
Vevey,Canton of Vaud,Switzerland,100,0,19891
Nanping,Fujian,People's Republic of China,37.5,50,
Putian,Fujian,People's Republic of China,35,50,
Sanming,Fujian,People's Republic of China,25,50,
Quanzhou,Fujian,People's Republic of China,25,75,
Xiamen,Fujian,People's Republic of China,61.11111111,48.21428571,
Zhangzhou,Fujian,People's Republic of China,0,50,
Longyan,Fujian,People's Republic of China,25,50,
Ningde,Fujian,People's Republic of China,25,50,
Solothurn,Canton of Solothurn,Switzerland,100,50,16777
Chur,Grisons,Switzerland,100,0,35038
Xining,Qinghai,People's Republic of China,5,75,
Cham,Canton of Zug,Switzerland,100,0,
Neuchatel,Canton of Neuchatel,Switzerland,92.85714286,0,33475
Montreux,Canton of Vaud,Switzerland,62.5,50,25984
Langenthal,Canton of Bern,Switzerland,100,0,15624
Shiyan,Hubei,People's Republic of China,0,50,
Jingzhou,Hubei,People's Republic of China,0,50,
Yichang,Hubei,People's Republic of China,0,50,
Xiangyang,Hubei,People's Republic of China,15,50,
Huanggang,Hubei,People's Republic of China,0,100,
Portsmouth,England,United Kingdom,60,40,855679
Kurchatov,Kursk Oblast,Russia,75,75,38344
Taiyuan,Shanxi,People's Republic of China,0,100,
Datong,Shanxi,People's Republic of China,12.5,50,
Yangquan,Shanxi,People's Republic of China,0,50,
Changzhi,Shanxi,People's Republic of China,0,50,
Jincheng,Shanxi,People's Republic of China,0,50,
Jinzhong,Shanxi,People's Republic of China,0,50,
Xinzhou,Shanxi,People's Republic of China,0,50,
Linfen,Shanxi,People's Republic of China,22.22222222,55,
Dalian,Liaoning,People's Republic of China,26.78571429,50,
Fushun,Liaoning,People's Republic of China,0,50,
Benxi,Liaoning,People's Republic of China,0,50,
Dandong,Liaoning,People's Republic of China,16.66666667,37.5,
Yingkou,Liaoning,People's Republic of China,0,50,
Panjin,Liaoning,People's Republic of China,0,50,
Tieling,Liaoning,People's Republic of China,0,50,
Huludao,Liaoning,People's Republic of China,0,50,
San Pedro,,Philippines,25,0,326001
Calamba,,Philippines,58.33333333,77.77777778,23227
Santa Rosa,,Philippines,50,62.5,414812
Santa Rosa,,Philippines,50,62.5,75649
Dzerzhinsk,Nizhny Novgorod Oblast,Russia,100,50,230639
Marion,Arkansas,United States of America,0,75,
Kluczbork,Opole Voivodeship,Poland,50,50,22703
Cabot,Arkansas,United States of America,75,25,
Russellville,Arkansas,United States of America,93.75,50,
Bullhead City,Arizona,United States of America,100,50,
Texarkana,Arkansas,United States of America,87.5,50,
Rogers,Arkansas,United States of America,87.5,12.5,
Dothan,Alabama,United States of America,100,62.5,
Fort Smith,Arkansas,United States of America,95,25,
Tuscaloosa,Alabama,United States of America,86.11111111,40,
Fairbanks,Alaska,United States of America,68.18181818,10,
Van Buren,Arkansas,United States of America,100,50,
Kingman,Arizona,United States of America,100,75,
Florence,Alabama,United States of America,100,50,
Mulhouse,,France,87.5,25,106341
Yuma,Arizona,United States of America,77.77777778,45,
Flagstaff,Arizona,United States of America,100,18.75,
Southampton,England,United Kingdom,67.30769231,46.875,855569
Palmer,Alaska,United States of America,95,0,
Konya,Konya Province,Turkey,18.18181818,45,2232374
Huntsville,Alabama,United States of America,95,25,
Mobile,Alabama,United States of America,75,57.14285714,
Maricopa,Arizona,United States of America,100,50,
Murfreesboro,Arkansas,United States of America,87.5,37.5,
Debrecen,Hajdu-Bihar County,Hungary,56.57894737,20.83333333,328642
Sierra Vista,Arizona,United States of America,75,30,
Seward,Alaska,United States of America,100,0,
Hot Springs,Arkansas,United States of America,100,0,
Prescott,Arizona,United States of America,96.42857143,25,
Wasilla,Alaska,United States of America,96.42857143,33.33333333,
Varanasi,Uttar Pradesh,India,19.33962264,70.91836735,
Kodiak,Alaska,United States of America,100,25,
Christchurch,Canterbury Region,New Zealand,80.11363636,33.75,383200
Daugavpils,,Latvia,50,37.5,78850
Tabriz,East Azerbaijan Province,Iran,30.26315789,47.72727273,
Patna,Bihar,India,14.49275362,68.25396825,1684222
Shreveport,Louisiana,United States of America,78.125,91.66666667,
Antakya,Hatay Province,Turkey,87.5,50,
Bhopal,Madhya Pradesh,India,48.92857143,67.30769231,
Monterrey,Nuevo Leon,Mexico,23.79310345,50,5341171
Charleroi,Wallonia,Belgium,50,60,201816
Olomouc,,Czech Republic,66.66666667,20,
Acapulco,Guerrero,Mexico,36.36363636,77.27272727,
Szeged,Csongrad-Csanad County,Hungary,69.44444444,25,239025
Giza,Giza Governorate,Egypt,8.333333333,79.16666667,5598402
Gresham,Oregon,United States of America,100,0,
Beaverton,Oregon,United States of America,81.25,6.25,
Santos,Sao Paulo,Brazil,65.625,18.75,1897551
Temuco,Araucania Region,Chile,18.75,37.5,282415
La Rochelle,,France,90,0,78535
Olsztyn,Warmian-Masurian Voivodeship,Poland,42.70833333,43.75,170225
Van,Van Province,Turkey,0,50,353419
Leicester,England,United Kingdom,70.3125,27.08333333,508916
Goiania,Goias,Brazil,68.75,39.58333333,71916
Durres,Durres County,Albania,37.5,62.5,175110
Mosul,,Iraq,0,75,1792000
Sibiu,Sibiu County,Romania,77.63157895,21.66666667,134308
Diyarbakir,Diyarbakir Province,Turkey,18.75,0,1732396
Mons,Wallonia,Belgium,80,50,95299
Shimla,,India,63.95348837,62.5,206575
Savannah,Georgia,United States of America,64.0625,52.08333333,
Saue,Harju County,Estonia,100,0,
Changchun,Jilin,People's Republic of China,16.66666667,56.81818182,
Opole,Opole Voivodeship,Poland,37.5,45.45454545,127387
Liaoyuan,Jilin,People's Republic of China,12.5,50,
Baishan,Jilin,People's Republic of China,0,50,
Baicheng,Jilin,People's Republic of China,0,50,
London,Ontario,Canada,69.82758621,51,423369
Sopot,Pomeranian Voivodeship,Poland,45.45454545,53.57142857,32962
Rawalpindi,Punjab,Pakistan,33.33333333,79.34782609,2098231
Chrzanow,Lesser Poland Voivodeship,Poland,37.5,50,35091
Gaziantep,Gaziantep Province,Turkey,25,37.5,374290
Sugar Land,Texas,United States of America,87.5,37.5,
Mostar,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,93.18181818,35,113169
Oradea,,Romania,65.47619048,26.66666667,183105
Novokuznetsk,Kemerovo Oblast,Russia,0,45,552105
Greeley,Colorado,United States of America,95,0,
Waukesha,Wisconsin,United States of America,87.5,50,
Appleton,Wisconsin,United States of America,89.28571429,25,
Magnitogorsk,Chelyabinsk Oblast,Russia,0,72.72727273,418241
Nizhny Tagil,Sverdlovsk Oblast,Russia,0,100,353950
Volzhsky,,Russia,0,75,326055
Ourense,Galicia,Spain,100,33.33333333,104250
Ibb,Ibb Governorate,Yemen,100,75,350864
Ibb,Ibb Governorate,Yemen,100,75,234837
Cluj-Napoca,Cluj County,Romania,57.11206897,33.40909091,286598
Newport,Wales,United Kingdom,82.14285714,58.33333333,159600
Newport,Wales,United Kingdom,82.14285714,58.33333333,23957
Newport,Wales,United Kingdom,82.14285714,58.33333333,11387
Narva,Ida-Viru County,Estonia,75,66.66666667,53875
Kielce,Swietokrzyskie Voivodeship,Poland,50,50,186894
Bytom,Silesian Voivodeship,Poland,35,75,153274
Parnu,Parnu County,Estonia,75,25,
Miskolc,Borsod-Abauj-Zemplen County,Hungary,44.44444444,15,145248
Corinth,Peloponnese Region,Greece,87.5,50,
Czestochowa,Silesian Voivodeship,Poland,45.83333333,12.5,213107
Rovaniemi,,Finland,100,15,62420
Zabrze,Silesian Voivodeship,Poland,15.625,37.5,158307
Ventspils,,Latvia,92.85714286,8.333333333,32948
Lucena,,Philippines,54.16666667,69.23076923,278924
Lucena,,Philippines,54.16666667,69.23076923,24314
Chorzow,Silesian Voivodeship,Poland,25,50,104193
Zgierz,Lodz Voivodeship,Poland,75,50,55079
Bakal,Chelyabinsk Oblast,Russia,75,100,19264
Balashikha,Moscow Oblast,Russia,25,58.33333333,468221
Elblag,Warmian-Masurian Voivodeship,Poland,54.16666667,50,
Zielona Gora,Lubusz Voivodeship,Poland,75,12.5,216781
Plock,Masovian Voivodeship,Poland,33.33333333,45,
Gorzow Wielkopolski,Lubusz Voivodeship,Poland,55,75,119964
Radom,Masovian Voivodeship,Poland,40,50,201601
Slupsk,Pomeranian Voivodeship,Poland,87.5,50,
Sosnowiec,Silesian Voivodeship,Poland,17.85714286,25,193660
Gliwice,Silesian Voivodeship,Poland,19.11764706,59.61538462,174016
Legnica,Lower Silesian Voivodeship,Poland,50,50,94878
Tarnow,Lesser Poland Voivodeship,Poland,37.5,50,106259
Wloclawek,Kuyavian-Pomeranian Voivodeship,Poland,45,75,
Binangonan,,Philippines,75,50,313631
Cainta,,Philippines,45,60,376933
Rybnik,Silesian Voivodeship,Poland,13.88888889,41.66666667,133772
Akranes,,Iceland,100,37.5,
Sivas,Sivas Province,Turkey,33.33333333,75,365274
Puerto Galera,,Philippines,50,50,41961
Valmiera,,Latvia,100,50,22585
Belize City,Belize District,Belize,50,77.77777778,57169
Dabrowa Gornicza,Silesian Voivodeship,Poland,33.33333333,25,116930
Kilkenny,Leinster,Ireland,75,75,22179
Pelotas,Rio Grande do Sul,Brazil,50,50,325689
Matola,Maputo Province,Mozambique,37.5,50,1032197
Kolobrzeg,West Pomeranian Voivodeship,Poland,100,0,
Caxias do Sul,Rio Grande do Sul,Brazil,85,37.5,463338
Mwanza,Mwanza Region,Tanzania,60,55,1104521
Walbrzych,Lower Silesian Voivodeship,Poland,36.11111111,60,
Puerto Princesa,Western Visayas,Philippines,62.5,54.16666667,307079
Durango,Durango,Mexico,83.33333333,50,654876
Chatham-Kent,Ontario,Canada,60,25,
Chuzhou,Anhui,People's Republic of China,0,50,
Elbasan,Elbasan County,Albania,0,25,78703
Bar,Bar Municipality,Montenegro,56.25,50,15868
Korce,Korce County,Albania,75,25,
Viseu,Viseu,Portugal,79.16666667,37.5,99274
Leuven,Flemish Region,Belgium,56.25,37.5,
Mashhad,Razavi Khorasan Province,Iran,27.38095238,56.25,3372090
Port Shepstone,,South Africa,75,100,35633
Jhelum,Punjab,Pakistan,87.5,87.5,190425
Eau Claire,Wisconsin,United States of America,96.42857143,33.33333333,
Erzurum,Erzurum Province,Turkey,21.875,12.5,767848
Nanyuki,,Kenya,100,25,31577
Grudziadz,Kuyavian-Pomeranian Voivodeship,Poland,45,0,
Dundee,Scotland,United Kingdom,88.88888889,8.333333333,148280
Charlottesville,Virginia,United States of America,100,58.33333333,
Tijuana,Baja California,Mexico,33.33333333,69.23076923,2002000
Vaasa,,Finland,92.5,8.333333333,67619
Port Elizabeth,Eastern Cape,South Africa,80.26315789,56.25,
Kimberley,Northern Cape,South Africa,31.25,87.5,225160
Acre,Northern District,Israel,25,75,
Tangier,Tanger-Tetouan-Al Hoceima,Morocco,45.58823529,35.41666667,947952
Wolverhampton,England,United Kingdom,33.33333333,33.33333333,250970
Eisenstadt,Burgenland,Austria,87.5,50,14476
Fort McMurray,Alberta,Canada,70,41.66666667,68002
Antibes,,France,65,33.33333333,75130
Weinan,Shaanxi,People's Republic of China,0,50,
Mangalore,Karnataka,India,65.09433962,47.53289474,623841
Vantaa,Uusimaa,Finland,87.5,12.5,214605
Beverly Hills,California,United States of America,100,0,
Yonkers,New York,United States of America,100,50,
Niagara Falls,New York,United States of America,100,50,
Kingston upon Hull,England,United Kingdom,59.09090909,42.85714286,314018
Waco,Texas,United States of America,81.25,68.75,
Frisco,Texas,United States of America,87.5,29.16666667,
Beaumont,Texas,United States of America,70.83333333,87.5,
Denton,Texas,United States of America,62.5,37.5,
Midland,Texas,United States of America,75,100,
Round Rock,Texas,United States of America,75,0,
Wichita Falls,Texas,United States of America,62.5,43.75,
Odessa,Texas,United States of America,100,50,
